Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,1.99,2.02,1.95,1.99,4149700,0,0
2015-11-17,2.01,2.04,1.97,1.98,5825100,0,0
2015-11-18,1.99,2.15,1.98,2.12,9384700,0,0
2015-11-19,2.1,2.16,2.09,2.14,4704300,0,0
2015-11-20,2.14,2.25,2.13,2.22,10727100,0,0
2015-11-23,2.22,2.24,2.18,2.22,4863200,0,0
2015-11-24,2.2,2.4,2.17,2.34,15859700,0,0
2015-11-25,2.36,2.4,2.31,2.38,6914800,0,0
2015-11-27,2.37,2.38,2.32,2.33,2606600,0,0
2015-11-30,2.34,2.37,2.25,2.36,9924400,0,0
2015-12-01,2.36,2.37,2.31,2.34,5646400,0,0
2015-12-02,2.31,2.34,2.23,2.27,7501700,0,0
2015-12-03,2.25,2.31,2.2,2.23,7059900,0,0
2015-12-04,2.23,2.29,2.21,2.28,4572600,0,0
2015-12-07,2.26,2.36,2.21,2.36,8479600,0,0
2015-12-08,2.34,2.4,2.25,2.39,9055500,0,0
2015-12-09,2.37,2.4,2.32,2.35,8710000,0,0
2015-12-10,2.36,2.5,2.33,2.45,13069400,0,0
2015-12-11,2.41,2.47,2.36,2.36,11890000,0,0
2015-12-14,2.36,2.39,2.3,2.34,7625700,0,0
2015-12-15,2.35,2.43,2.32,2.36,7423900,0,0
2015-12-16,2.39,2.55,2.37,2.54,19543600,0,0
2015-12-17,2.52,2.6,2.52,2.56,11374100,0,0
2015-12-18,2.51,2.55,2.42,2.45,17988100,0,0
2015-12-21,2.47,2.53,2.43,2.53,6876600,0,0
2015-12-22,2.55,2.78,2.54,2.77,24893200,0,0
2015-12-23,2.76,2.94,2.75,2.83,30365300,0,0
2015-12-24,2.88,3.0,2.86,2.92,11890900,0,0
2015-12-28,2.91,3.02,2.86,3.0,16050500,0,0
2015-12-29,3.04,3.06,2.97,3.0,15300900,0,0
2015-12-30,2.99,3.04,2.93,2.98,10046600,0,0
2015-12-31,2.97,3.01,2.87,2.87,11086100,0,0
2016-01-04,2.77,2.82,2.63,2.77,32516800,0,0
2016-01-05,2.77,2.8,2.64,2.75,12972300,0,0
2016-01-06,2.66,2.71,2.47,2.51,23759400,0,0
2016-01-07,2.43,2.48,2.26,2.28,22203500,0,0
2016-01-08,2.36,2.42,2.1,2.14,31822400,0,0
2016-01-11,2.16,2.36,2.12,2.34,19629300,0,0
2016-01-12,2.4,2.46,2.28,2.39,17986100,0,0
2016-01-13,2.4,2.45,2.21,2.25,12749700,0,0
2016-01-14,2.29,2.35,2.21,2.21,15666600,0,0
2016-01-15,2.1,2.13,1.99,2.03,21199300,0,0
2016-01-19,2.08,2.11,1.9,1.95,18978900,0,0
2016-01-20,1.81,1.95,1.75,1.8,29243600,0,0
2016-01-21,1.82,2.18,1.81,2.09,26387900,0,0
2016-01-22,2.11,2.17,1.98,2.02,16245500,0,0
2016-01-25,2.01,2.15,2.01,2.12,13080900,0,0
2016-01-26,2.14,2.15,2.03,2.07,11097400,0,0
2016-01-27,2.08,2.18,2.07,2.13,10833200,0,0
2016-01-28,2.16,2.17,2.07,2.08,7118400,0,0
2016-01-29,2.09,2.2,2.07,2.2,11998100,0,0
2016-02-01,2.17,2.19,2.11,2.14,8816100,0,0
2016-02-02,2.11,2.14,1.96,1.99,11224100,0,0
2016-02-03,2.04,2.08,1.95,2.07,9978600,0,0
2016-02-04,2.06,2.17,2.03,2.09,8284800,0,0
2016-02-05,2.06,2.08,1.98,1.98,7914400,0,0
2016-02-08,1.97,1.98,1.87,1.93,11589000,0,0
2016-02-09,1.89,2.0,1.85,1.9,14991500,0,0
2016-02-10,1.92,1.98,1.83,1.84,9466100,0,0
2016-02-11,1.82,1.94,1.81,1.86,7858300,0,0
2016-02-12,1.89,1.91,1.82,1.83,9957300,0,0
2016-02-16,1.86,1.9,1.82,1.83,11853400,0,0
2016-02-17,1.85,1.94,1.85,1.9,13770200,0,0
2016-02-18,1.93,1.98,1.9,1.91,10823400,0,0
2016-02-19,1.93,1.93,1.83,1.91,7784100,0,0
2016-02-22,1.94,2.04,1.93,2.01,9895500,0,0
2016-02-23,2.04,2.06,1.97,1.97,6710600,0,0
2016-02-24,1.98,2.04,1.93,2.02,6906200,0,0
2016-02-25,2.02,2.04,1.98,2.03,5614400,0,0
2016-02-26,2.04,2.1,2.03,2.07,7911500,0,0
2016-02-29,2.06,2.15,2.05,2.14,11400300,0,0
2016-03-01,2.16,2.2,2.12,2.18,9011200,0,0
2016-03-02,2.2,2.33,2.18,2.32,10845700,0,0
2016-03-03,2.32,2.55,2.3,2.46,22092400,0,0
2016-03-04,2.42,2.5,2.34,2.37,15449000,0,0
2016-03-07,2.36,2.47,2.36,2.47,8754300,0,0
2016-03-08,2.44,2.46,2.3,2.3,10026900,0,0
2016-03-09,2.32,2.35,2.2,2.26,13082400,0,0
2016-03-10,2.29,2.31,2.15,2.26,9603500,0,0
2016-03-11,2.29,2.54,2.29,2.52,21382400,0,0
2016-03-14,2.53,2.75,2.5,2.72,33848000,0,0
2016-03-15,2.67,2.69,2.45,2.49,21573600,0,0
2016-03-16,2.5,2.64,2.49,2.63,13015700,0,0
2016-03-17,2.77,2.81,2.7,2.8,29000800,0,0
2016-03-18,2.8,2.93,2.77,2.93,26330500,0,0
2016-03-21,2.9,2.9,2.75,2.8,13464900,0,0
2016-03-22,2.73,2.85,2.71,2.79,10315800,0,0
2016-03-23,2.8,2.83,2.68,2.68,10167100,0,0
2016-03-24,2.69,2.81,2.62,2.79,10040200,0,0
2016-03-28,2.81,2.84,2.73,2.78,7683700,0,0
2016-03-29,2.74,2.88,2.7,2.86,13616200,0,0
2016-03-30,2.88,2.98,2.85,2.86,14945900,0,0
2016-03-31,2.84,2.88,2.8,2.85,9071500,0,0
2016-04-01,2.79,2.88,2.76,2.83,8257700,0,0
2016-04-04,2.83,2.87,2.8,2.83,5591100,0,0
2016-04-05,2.76,2.84,2.72,2.76,9640200,0,0
2016-04-06,2.75,2.8,2.72,2.8,12534600,0,0
2016-04-07,2.76,2.83,2.61,2.64,13479200,0,0
2016-04-08,2.7,2.76,2.68,2.74,8489000,0,0
2016-04-11,2.76,2.82,2.74,2.76,9045100,0,0
2016-04-12,2.79,2.85,2.76,2.81,16131900,0,0
2016-04-13,2.78,2.82,2.73,2.8,8048000,0,0
2016-04-14,2.77,2.79,2.7,2.72,8985300,0,0
2016-04-15,2.72,2.75,2.68,2.7,7487500,0,0
2016-04-18,2.67,2.8,2.65,2.76,8938800,0,0
2016-04-19,2.78,2.78,2.61,2.62,11719900,0,0
2016-04-20,2.62,2.72,2.61,2.7,7926100,0,0
2016-04-21,2.65,2.7,2.6,2.62,13957200,0,0
2016-04-22,3.19,3.99,3.18,3.99,143265300,0,0
2016-04-25,3.81,3.82,3.31,3.45,80607900,0,0
2016-04-26,3.45,3.75,3.44,3.66,36336900,0,0
2016-04-27,3.55,3.75,3.53,3.73,24186800,0,0
2016-04-28,3.69,3.8,3.6,3.61,20230000,0,0
2016-04-29,3.69,3.69,3.45,3.55,17717800,0,0
2016-05-02,3.58,3.75,3.57,3.74,16972800,0,0
2016-05-03,3.7,3.71,3.58,3.6,13784800,0,0
2016-05-04,3.54,3.67,3.54,3.6,8688500,0,0
2016-05-05,3.64,3.8,3.61,3.66,21529600,0,0
2016-05-06,3.65,3.75,3.64,3.68,11839300,0,0
2016-05-09,3.66,3.68,3.45,3.65,16299400,0,0
2016-05-10,3.66,3.68,3.56,3.64,9415100,0,0
2016-05-11,3.61,3.68,3.6,3.65,7540300,0,0
2016-05-12,3.65,3.68,3.55,3.59,9255800,0,0
2016-05-13,3.56,3.73,3.55,3.67,16470100,0,0
2016-05-16,3.67,3.85,3.65,3.79,14703800,0,0
2016-05-17,3.8,3.98,3.69,3.79,20066100,0,0
2016-05-18,3.79,3.97,3.77,3.84,19487500,0,0
2016-05-19,3.83,3.85,3.69,3.77,17696900,0,0
2016-05-20,3.83,3.9,3.81,3.87,13799600,0,0
2016-05-23,3.9,4.2,3.88,4.04,35467000,0,0
2016-05-24,4.09,4.21,3.92,4.2,34283900,0,0
2016-05-25,4.24,4.35,4.15,4.18,24703600,0,0
2016-05-26,4.19,4.38,4.17,4.35,22625700,0,0
2016-05-27,4.39,4.63,4.37,4.6,34429600,0,0
2016-05-31,4.67,4.71,4.5,4.57,25379200,0,0
2016-06-01,4.6,4.64,4.38,4.43,29696400,0,0
2016-06-02,4.37,4.4,4.07,4.24,35335000,0,0
2016-06-03,4.16,4.2,4.08,4.16,17561800,0,0
2016-06-06,4.2,4.51,4.17,4.47,21329600,0,0
2016-06-07,4.56,4.67,4.47,4.51,20676200,0,0
2016-06-08,4.54,4.56,4.38,4.46,16074300,0,0
2016-06-09,4.41,4.54,4.32,4.52,16219100,0,0
2016-06-10,4.4,4.47,4.3,4.32,15106500,0,0
2016-06-13,4.32,4.48,4.32,4.4,13500700,0,0
2016-06-14,4.4,4.51,4.33,4.39,16757400,0,0
2016-06-15,4.44,4.48,4.3,4.42,11575300,0,0
2016-06-16,4.5,4.75,4.46,4.75,34182700,0,0
2016-06-17,4.75,5.27,4.68,5.26,64894100,0,0
2016-06-20,5.39,5.45,5.09,5.1,43541300,0,0
2016-06-21,5.1,5.5,5.09,5.45,35864600,0,0
2016-06-22,5.46,5.52,4.96,5.02,47943300,0,0
2016-06-23,5.17,5.26,5.05,5.21,29159200,0,0
