Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-18,65.0,66.0,60.32,62.0,25764700,0,0
2019-04-22,61.0,68.9,59.94,65.7,9949700,0,0
2019-04-23,66.87,74.17,65.55,69.0,6786500,0,0
2019-04-24,71.4,71.5,63.16,63.2,4973500,0,0
2019-04-25,64.74,66.85,62.6,65.0,3863300,0,0
2019-04-26,66.12,66.99,63.6,66.22,1527400,0,0
2019-04-29,66.53,68.5,64.75,68.17,1822300,0,0
2019-04-30,68.4,72.52,66.67,72.47,4113100,0,0
2019-05-01,72.72,76.95,70.82,72.76,3301900,0,0
2019-05-02,72.75,75.89,69.69,75.5,2525300,0,0
2019-05-03,75.0,80.25,75.0,79.18,2590300,0,0
2019-05-06,75.01,80.79,74.5,78.24,2051800,0,0
2019-05-07,77.85,78.05,73.25,73.33,1975200,0,0
2019-05-08,74.61,78.5,74.03,77.68,2265500,0,0
2019-05-09,76.85,76.99,74.0,75.21,1348200,0,0
2019-05-10,75.79,79.74,74.77,79.63,1555100,0,0
2019-05-13,77.39,77.39,70.6,72.54,2873200,0,0
2019-05-14,74.12,76.89,73.11,73.14,1950400,0,0
2019-05-15,73.4,80.0,72.21,79.76,2426500,0,0
2019-05-16,80.12,87.55,79.25,83.4,4580700,0,0
2019-05-17,82.25,90.28,81.88,89.98,3442500,0,0
2019-05-20,90.1,91.46,83.27,84.67,3666800,0,0
2019-05-21,86.63,89.7,84.5,85.44,2576000,0,0
2019-05-22,84.63,85.7,82.0,82.43,1596400,0,0
2019-05-23,81.25,81.5,77.26,78.76,2856000,0,0
2019-05-24,80.48,81.25,74.2,76.25,2946800,0,0
2019-05-28,76.8,79.39,76.8,77.77,1641300,0,0
2019-05-29,77.0,77.93,73.58,75.77,1512100,0,0
2019-05-30,76.68,80.97,76.6,80.42,1996000,0,0
2019-05-31,78.77,83.17,77.78,79.73,1594300,0,0
2019-06-03,80.0,81.94,75.65,75.9,1570500,0,0
2019-06-04,78.2,78.88,76.62,78.74,1134900,0,0
2019-06-05,80.14,80.6,76.24,78.04,1295800,0,0
2019-06-06,77.4,79.75,77.03,79.43,3024000,0,0
2019-06-07,93.66,98.89,92.5,94.05,9487800,0,0
2019-06-10,98.51,105.99,96.0,102.0,4852800,0,0
2019-06-11,101.0,101.2,91.57,94.87,4372400,0,0
2019-06-12,94.6,104.18,94.0,102.77,3151700,0,0
2019-06-13,105.1,105.17,98.55,100.95,3189100,0,0
2019-06-14,100.47,104.57,99.25,100.29,1889300,0,0
2019-06-17,101.0,102.45,97.0,98.11,2128500,0,0
2019-06-18,100.39,102.0,97.51,99.64,2272400,0,0
2019-06-19,100.49,104.44,98.63,102.39,2592700,0,0
2019-06-20,105.01,107.34,101.62,102.3,2460700,0,0
2019-06-21,101.42,101.53,97.82,100.47,2972500,0,0
2019-06-24,100.85,101.5,88.88,89.41,6011200,0,0
2019-06-25,89.43,91.5,84.63,85.03,3744500,0,0
2019-06-26,87.92,89.08,84.61,86.33,2680000,0,0
2019-06-27,89.7,92.33,87.8,90.27,3019500,0,0
2019-06-28,91.76,92.2,87.25,88.79,3228300,0,0
2019-07-01,85.13,87.79,83.1,86.86,5326800,0,0
2019-07-02,86.27,86.85,84.0,85.13,1866000,0,0
2019-07-03,85.45,90.6,84.51,90.45,2706100,0,0
2019-07-05,90.14,91.97,88.0,91.88,2582700,0,0
2019-07-08,91.44,92.79,89.89,90.76,1793300,0,0
2019-07-09,90.27,91.27,89.1,90.93,1557400,0,0
2019-07-10,91.76,93.45,91.55,92.72,2059300,0,0
2019-07-11,92.9,93.2,90.45,91.4,1784600,0,0
2019-07-12,93.01,94.93,91.37,93.3,2689700,0,0
2019-07-15,94.0,100.65,93.78,99.8,3835600,0,0
2019-07-16,100.14,100.5,96.5,97.1,2120100,0,0
2019-07-17,97.62,101.99,97.54,99.73,2314100,0,0
2019-07-18,99.24,99.5,95.02,95.19,2035600,0,0
2019-07-19,97.15,97.79,92.88,93.38,1747700,0,0
2019-07-22,94.19,97.46,93.5,96.67,1483000,0,0
2019-07-23,97.5,98.15,93.52,97.39,2241700,0,0
2019-07-24,97.12,97.88,94.68,95.94,1283700,0,0
2019-07-25,95.84,99.6,95.75,97.11,1870300,0,0
2019-07-26,97.95,104.49,97.83,102.2,3040700,0,0
2019-07-29,102.6,103.0,92.1,96.47,4230300,0,0
2019-07-30,95.19,99.35,94.03,95.49,1635500,0,0
2019-07-31,96.43,97.5,93.5,95.51,1514700,0,0
2019-08-01,95.75,98.66,93.8,95.1,1530400,0,0
2019-08-02,94.92,96.0,92.57,93.66,1117100,0,0
2019-08-05,90.7,91.19,87.29,89.69,1774400,0,0
2019-08-06,91.5,92.29,88.1,90.43,1028700,0,0
2019-08-07,89.02,93.16,88.02,92.45,996100,0,0
2019-08-08,93.57,95.84,93.02,95.77,925600,0,0
2019-08-09,94.79,95.49,93.31,94.2,800500,0,0
2019-08-12,93.05,94.18,91.11,92.16,779300,0,0
2019-08-13,92.06,96.22,92.06,95.45,1167200,0,0
2019-08-14,93.2,94.52,89.89,92.65,1265700,0,0
2019-08-15,92.77,93.44,89.69,90.64,1079800,0,0
2019-08-16,92.12,95.0,92.08,92.53,1259300,0,0
2019-08-19,94.18,96.2,92.89,93.17,1226000,0,0
2019-08-20,93.0,93.57,91.14,91.41,746100,0,0
2019-08-21,92.86,94.18,92.35,93.01,760000,0,0
2019-08-22,93.48,95.5,91.57,93.88,883000,0,0
2019-08-23,93.14,94.13,90.41,91.63,1368400,0,0
2019-08-26,92.33,93.5,91.45,91.76,697400,0,0
2019-08-27,92.6,93.69,90.44,91.73,825800,0,0
2019-08-28,91.16,91.38,88.71,90.16,1148300,0,0
2019-08-29,91.5,92.68,90.7,90.87,851800,0,0
2019-08-30,91.82,92.42,89.02,91.67,1186100,0,0
2019-09-03,91.5,94.24,90.75,92.46,1538900,0,0
2019-09-04,93.95,96.0,93.18,93.53,2400700,0,0
2019-09-05,94.24,94.38,88.51,92.69,4991800,0,0
2019-09-06,92.0,96.5,84.86,85.41,7289700,0,0
2019-09-09,85.75,85.94,77.2,78.65,6713800,0,0
2019-09-10,77.0,81.22,76.81,80.35,2813200,0,0
2019-09-11,80.0,81.86,78.5,80.71,2013600,0,0
2019-09-12,81.45,82.65,79.9,81.53,1955100,0,0
2019-09-13,81.57,82.48,78.27,78.85,1416800,0,0
2019-09-16,78.5,80.99,78.26,80.67,1630100,0,0
2019-09-17,81.49,84.82,79.53,84.64,2539900,0,0
2019-09-18,84.4,86.0,83.5,84.55,1835400,0,0
2019-09-19,85.2,85.35,83.25,84.62,1266600,0,0
2019-09-20,85.0,85.35,81.5,82.63,2050100,0,0
2019-09-23,82.29,83.6,81.8,82.62,677000,0,0
2019-09-24,82.43,82.93,79.46,80.02,2145400,0,0
2019-09-25,79.12,79.99,76.08,79.6,1924100,0,0
2019-09-26,79.25,80.62,78.61,79.75,920000,0,0
2019-09-27,79.69,79.82,75.09,76.04,2347400,0,0
2019-09-30,76.13,77.0,74.29,76.2,1356500,0,0
2019-10-01,76.43,77.49,75.21,75.81,1378100,0,0
2019-10-02,74.5,75.78,73.66,73.85,1388700,0,0
2019-10-03,73.9,78.49,73.39,76.83,2605800,0,0
2019-10-04,77.0,77.78,75.28,76.53,1799500,0,0
2019-10-07,76.99,77.43,75.0,76.99,1432200,0,0
2019-10-08,76.01,76.35,72.58,73.59,3156600,0,0
2019-10-09,74.22,75.06,72.75,72.86,1490100,0,0
2019-10-10,72.86,73.78,71.01,71.01,2282200,0,0
2019-10-11,71.37,72.89,70.9,71.35,2391800,0,0
2019-10-14,70.46,71.24,69.55,70.8,2218100,0,0
2019-10-15,68.76,71.27,68.38,71.11,10576600,0,0
2019-10-16,69.7,69.95,66.51,67.69,6061400,0,0
2019-10-17,67.09,68.0,66.76,67.03,3496800,0,0
2019-10-18,66.26,66.93,64.53,66.08,4819400,0,0
2019-10-21,65.29,66.5,64.16,65.77,3076500,0,0
2019-10-22,64.2,64.6,61.02,62.0,4584700,0,0
2019-10-23,61.33,63.74,60.97,62.06,3589200,0,0
2019-10-24,63.0,65.94,62.76,64.52,3433300,0,0
2019-10-25,64.33,64.99,62.79,63.45,1921900,0,0
2019-10-28,63.96,67.47,62.26,66.56,3509300,0,0
2019-10-29,65.77,67.11,64.8,65.49,1825300,0,0
2019-10-30,65.97,70.09,65.66,70.0,4670300,0,0
2019-10-31,69.52,70.08,66.6,69.89,3405300,0,0
2019-11-01,69.86,70.55,68.02,70.39,3561800,0,0
2019-11-04,70.81,70.85,69.01,70.12,1563100,0,0
2019-11-05,70.71,70.85,66.68,66.89,1805900,0,0
2019-11-06,66.95,67.13,65.36,66.83,1327400,0,0
2019-11-07,67.03,68.68,66.21,66.81,1128200,0,0
2019-11-08,66.54,70.0,66.52,69.85,1472400,0,0
2019-11-11,69.51,70.19,67.76,68.39,1037500,0,0
2019-11-12,68.5,70.05,67.56,68.0,1911000,0,0
2019-11-13,68.0,68.51,66.87,68.01,1987000,0,0
2019-11-14,67.77,68.15,66.71,67.74,932500,0,0
2019-11-15,68.13,71.1,67.91,70.01,2311800,0,0
2019-11-18,70.47,71.14,68.78,70.08,1676000,0,0
2019-11-19,70.19,70.33,68.19,69.64,1704700,0,0
2019-11-20,69.25,71.71,68.55,70.99,2780700,0,0
2019-11-21,71.5,71.95,69.58,69.92,1127000,0,0
2019-11-22,72.0,74.0,71.15,73.16,3051900,0,0
2019-11-25,73.8,75.06,72.86,74.55,1936400,0,0
2019-11-26,75.0,75.77,74.76,75.16,1836500,0,0
2019-11-27,75.81,75.84,73.36,74.08,1355900,0,0
2019-11-29,74.1,74.94,73.86,74.5,512600,0,0
2019-12-02,74.06,74.5,68.46,68.93,3138600,0,0
2019-12-03,66.72,70.53,66.05,70.02,2444200,0,0
2019-12-04,70.5,70.9,69.15,69.96,2076500,0,0
2019-12-05,70.03,70.75,69.22,69.67,3672600,0,0
2019-12-06,64.26,65.08,62.11,62.74,11253600,0,0
2019-12-09,62.39,67.27,62.33,65.94,5234100,0,0
2019-12-10,65.49,65.83,63.39,64.57,3895700,0,0
2019-12-11,64.24,64.45,62.05,63.52,3685600,0,0
2019-12-12,63.49,64.23,62.12,62.49,3317300,0,0
2019-12-13,62.5,63.75,62.02,63.54,2489400,0,0
2019-12-16,63.59,66.39,63.56,66.35,3282800,0,0
2019-12-17,66.62,66.62,65.4,66.17,2301000,0,0
2019-12-18,66.22,68.14,66.04,67.6,2237000,0,0
2019-12-19,67.75,68.46,67.1,68.18,1610500,0,0
2019-12-20,68.2,68.48,66.42,66.93,2201400,0,0
2019-12-23,67.02,67.5,65.93,66.15,1663500,0,0
2019-12-24,66.3,66.89,65.74,66.46,562600,0,0
2019-12-26,66.5,68.19,66.3,67.45,1387600,0,0
2019-12-27,67.51,67.96,66.51,66.64,955400,0,0
2019-12-30,66.56,67.18,65.52,66.79,1162700,0,0
2019-12-31,66.38,68.18,66.31,68.04,1351400,0,0
2020-01-02,68.8,69.24,68.02,68.72,1315500,0,0
2020-01-03,67.62,68.68,67.1,67.28,1127900,0,0
2020-01-06,66.63,70.5,65.81,70.32,3151600,0,0
2020-01-07,70.29,72.84,69.37,71.9,6985400,0,0
2020-01-08,71.81,73.29,71.03,72.55,2482300,0,0
2020-01-09,73.99,74.0,71.35,72.62,2772000,0,0
2020-01-10,73.08,73.8,72.25,73.09,1655100,0,0
2020-01-13,73.89,75.58,73.8,74.03,3347100,0,0
2020-01-14,74.32,75.11,72.26,73.16,1909500,0,0
2020-01-15,73.28,77.78,73.2,76.94,3963500,0,0
2020-01-16,78.0,78.79,75.11,76.11,2998300,0,0
2020-01-17,76.66,76.9,75.49,75.56,1357400,0,0
2020-01-21,75.56,77.12,74.32,76.73,1606700,0,0
2020-01-22,77.07,77.11,75.46,75.54,1501600,0,0
2020-01-23,75.67,75.97,74.21,74.47,1279000,0,0
2020-01-24,74.97,76.18,72.38,73.0,1660200,0,0
2020-01-27,71.33,72.13,70.32,70.44,1750700,0,0
2020-01-28,71.0,72.48,70.26,71.51,1598200,0,0
2020-01-29,72.51,74.14,71.21,73.58,1373400,0,0
2020-01-30,73.1,74.8,72.55,74.54,1425400,0,0
2020-01-31,74.27,76.67,73.3,76.3,2521700,0,0
2020-02-03,77.69,88.94,77.51,87.66,13023400,0,0
2020-02-04,91.04,93.3,83.5,85.79,10611000,0,0
2020-02-05,85.77,90.97,83.75,86.99,5126800,0,0
2020-02-06,87.0,89.44,85.26,87.26,2410800,0,0
2020-02-07,87.23,90.6,86.81,88.64,2636600,0,0
2020-02-10,89.09,89.98,86.91,89.67,2071600,0,0
