Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-11-17,16.95,18.53,14.8,15.15,10327700,0,0
2017-11-20,15.55,15.65,14.48,14.85,2251700,0,0
2017-11-21,14.84,16.1,14.5,15.8,1978900,0,0
2017-11-22,16.49,17.75,15.8,17.35,2618000,0,0
2017-11-24,18.26,19.49,17.76,18.62,1828800,0,0
2017-11-27,19.25,23.91,19.01,23.08,2900600,0,0
2017-11-28,24.83,24.89,19.97,23.05,3565600,0,0
2017-11-29,22.55,22.9,20.59,22.26,2044200,0,0
2017-11-30,22.05,22.25,20.01,20.04,2171700,0,0
2017-12-01,20.0,24.01,19.07,23.6,3515300,0,0
2017-12-04,22.75,24.75,21.18,24.04,1864900,0,0
2017-12-05,23.9,23.98,22.7,22.97,839300,0,0
2017-12-06,22.89,24.05,22.07,24.04,677900,0,0
2017-12-07,23.78,25.38,22.95,24.34,902100,0,0
2017-12-08,24.24,24.74,23.3,23.6,442100,0,0
2017-12-11,23.35,24.39,23.12,23.98,601200,0,0
2017-12-12,23.69,24.73,23.5,23.54,615000,0,0
2017-12-13,23.52,24.23,23.52,23.92,425800,0,0
2017-12-14,23.88,24.19,23.53,23.93,335300,0,0
2017-12-15,23.98,24.0,23.03,23.34,482500,0,0
2017-12-18,23.2,25.3,23.17,23.85,712000,0,0
2017-12-19,24.0,25.98,22.51,24.76,1726500,0,0
2017-12-20,21.5,23.25,20.5,22.34,3098600,0,0
2017-12-21,22.6,23.9,22.59,23.19,1185200,0,0
2017-12-22,23.4,24.7,23.21,24.62,1038000,0,0
2017-12-26,24.29,30.0,24.05,29.14,2630800,0,0
2017-12-27,28.9,30.07,28.05,28.7,1295800,0,0
2017-12-28,28.75,29.7,26.24,26.93,1346700,0,0
2017-12-29,26.8,27.35,25.26,25.83,563800,0,0
2018-01-02,25.85,25.95,23.75,24.77,1203800,0,0
2018-01-03,24.68,24.93,23.64,24.63,551400,0,0
2018-01-04,24.45,26.15,24.0,25.36,730700,0,0
2018-01-05,25.48,25.95,24.82,25.77,305900,0,0
2018-01-08,25.79,26.88,25.77,26.47,374200,0,0
2018-01-09,26.54,26.73,25.01,25.21,520600,0,0
2018-01-10,25.21,25.52,24.32,25.39,360600,0,0
2018-01-11,25.31,26.46,24.91,25.15,469800,0,0
2018-01-12,24.99,25.44,24.98,25.14,203100,0,0
2018-01-16,25.37,25.37,22.52,22.8,834600,0,0
2018-01-17,22.97,23.2,21.44,21.5,954600,0,0
2018-01-18,21.54,21.6,20.51,20.7,748200,0,0
2018-01-19,21.06,21.25,20.1,20.7,537400,0,0
2018-01-22,20.8,22.0,20.21,21.26,681500,0,0
2018-01-23,21.25,22.19,20.6,21.15,546800,0,0
2018-01-24,21.09,21.49,20.64,20.86,275300,0,0
2018-01-25,20.95,21.27,20.81,21.0,177200,0,0
2018-01-26,21.07,21.79,20.82,21.7,307200,0,0
2018-01-29,22.21,22.21,20.87,21.01,312400,0,0
2018-01-30,20.95,21.0,19.28,19.99,736800,0,0
2018-01-31,20.13,21.2,20.0,20.67,456200,0,0
2018-02-01,20.45,20.97,20.0,20.21,343500,0,0
2018-02-02,20.21,20.53,19.73,20.07,282800,0,0
2018-02-05,19.83,19.94,19.0,19.38,280600,0,0
2018-02-06,19.03,20.6,18.0,20.44,304900,0,0
2018-02-07,20.52,21.38,20.11,20.94,322900,0,0
2018-02-08,21.18,21.5,19.95,20.05,159100,0,0
2018-02-09,20.27,20.95,19.0,19.56,203300,0,0
2018-02-12,19.86,20.18,19.57,20.13,119000,0,0
2018-02-13,20.05,20.31,19.7,20.0,138900,0,0
2018-02-14,19.94,21.5,19.86,21.05,259400,0,0
2018-02-15,21.42,21.98,20.75,20.82,274900,0,0
2018-02-16,20.63,20.75,20.2,20.3,112500,0,0
2018-02-20,20.3,20.42,19.55,19.93,228900,0,0
2018-02-21,20.02,20.12,19.11,19.18,139700,0,0
2018-02-22,19.26,19.61,18.62,19.24,272500,0,0
2018-02-23,19.48,19.69,19.18,19.49,160900,0,0
