Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,9.29,9.29,9.29,9.29,0,0.0,0
2015-11-17,9.29,9.29,9.29,9.29,0,0.0,0
2015-11-18,9.29,9.29,9.29,9.29,0,0.0,0
2015-11-19,9.28,9.28,9.28,9.28,0,0.0,0
2015-11-20,9.28,9.28,9.28,9.28,0,0.0,0
2015-11-23,9.28,9.28,9.28,9.28,0,0.0,0
2015-11-24,9.28,9.28,9.28,9.28,0,0.0,0
2015-11-25,9.28,9.28,9.28,9.28,0,0.0,0
2015-11-27,9.28,9.28,9.28,9.28,0,0.0,0
2015-11-30,9.28,9.28,9.28,9.28,0,0.0,0
2015-12-01,9.29,9.29,9.29,9.29,0,0.0,0
2015-12-02,9.28,9.28,9.28,9.28,0,0.0,0
2015-12-03,9.27,9.27,9.27,9.27,0,0.0,0
2015-12-04,9.28,9.28,9.28,9.28,0,0.0,0
2015-12-07,9.28,9.28,9.28,9.28,0,0.0,0
2015-12-08,9.26,9.26,9.26,9.26,0,0.0,0
2015-12-09,9.27,9.27,9.27,9.27,0,0.0,0
2015-12-10,9.26,9.26,9.26,9.26,0,0.0,0
2015-12-11,9.27,9.27,9.27,9.27,0,0.0,0
2015-12-14,9.25,9.25,9.25,9.25,0,0.0,0
2015-12-15,9.25,9.25,9.25,9.25,0,0.0,0
2015-12-16,9.25,9.25,9.25,9.25,0,0.0,0
2015-12-17,9.24,9.24,9.24,9.24,0,0.0,0
2015-12-18,9.24,9.24,9.24,9.24,0,0.0,0
2015-12-21,9.23,9.23,9.23,9.23,0,0.0,0
2015-12-22,9.22,9.22,9.22,9.22,0,0.0,0
2015-12-23,9.23,9.23,9.23,9.23,0,0.0,0
2015-12-24,9.23,9.23,9.23,9.23,0,0.0,0
2015-12-28,9.23,9.23,9.23,9.23,0,0.0,0
2015-12-29,9.23,9.23,9.23,9.23,0,0.0,0
2015-12-30,9.23,9.23,9.23,9.23,0,0.023,0
2015-12-31,9.23,9.23,9.23,9.23,0,0.0,0
2016-01-04,9.22,9.22,9.22,9.22,0,0.0,0
2016-01-05,9.23,9.23,9.23,9.23,0,0.0,0
2016-01-06,9.23,9.23,9.23,9.23,0,0.0,0
2016-01-07,9.24,9.24,9.24,9.24,0,0.0,0
2016-01-08,9.23,9.23,9.23,9.23,0,0.0,0
2016-01-11,9.23,9.23,9.23,9.23,0,0.0,0
2016-01-12,9.23,9.23,9.23,9.23,0,0.0,0
2016-01-13,9.23,9.23,9.23,9.23,0,0.0,0
2016-01-14,9.22,9.22,9.22,9.22,0,0.0,0
2016-01-15,9.2,9.2,9.2,9.2,0,0.0,0
2016-01-19,9.2,9.2,9.2,9.2,0,0.0,0
2016-01-20,9.19,9.19,9.19,9.19,0,0.0,0
2016-01-21,9.19,9.19,9.19,9.19,0,0.0,0
2016-01-22,9.19,9.19,9.19,9.19,0,0.0,0
2016-01-25,9.19,9.19,9.19,9.19,0,0.0,0
2016-01-26,9.2,9.2,9.2,9.2,0,0.0,0
2016-01-27,9.19,9.19,9.19,9.19,0,0.0,0
2016-01-28,9.2,9.2,9.2,9.2,0,0.0,0
2016-01-29,9.21,9.21,9.21,9.21,0,0.013,0
2016-02-01,9.21,9.21,9.21,9.21,0,0.0,0
2016-02-02,9.21,9.21,9.21,9.21,0,0.0,0
2016-02-03,9.2,9.2,9.2,9.2,0,0.0,0
2016-02-04,9.21,9.21,9.21,9.21,0,0.0,0
2016-02-05,9.2,9.2,9.2,9.2,0,0.0,0
2016-02-08,9.2,9.2,9.2,9.2,0,0.0,0
2016-02-09,9.19,9.19,9.19,9.19,0,0.0,0
2016-02-10,9.19,9.19,9.19,9.19,0,0.0,0
2016-02-11,9.18,9.18,9.18,9.18,0,0.0,0
2016-02-12,9.16,9.16,9.16,9.16,0,0.0,0
2016-02-16,9.16,9.16,9.16,9.16,0,0.0,0
2016-02-17,9.16,9.16,9.16,9.16,0,0.0,0
2016-02-18,9.18,9.18,9.18,9.18,0,0.0,0
2016-02-19,9.17,9.17,9.17,9.17,0,0.0,0
2016-02-22,9.18,9.18,9.18,9.18,0,0.0,0
2016-02-23,9.17,9.17,9.17,9.17,0,0.0,0
2016-02-24,9.16,9.16,9.16,9.16,0,0.0,0
2016-02-25,9.18,9.18,9.18,9.18,0,0.0,0
2016-02-26,9.19,9.19,9.19,9.19,0,0.0,0
2016-02-29,9.2,9.2,9.2,9.2,0,0.0,0
2016-03-01,9.21,9.21,9.21,9.21,0,0.0,0
2016-03-02,9.22,9.22,9.22,9.22,0,0.0,0
2016-03-03,9.22,9.22,9.22,9.22,0,0.0,0
2016-03-04,9.23,9.23,9.23,9.23,0,0.0,0
2016-03-07,9.24,9.24,9.24,9.24,0,0.0,0
2016-03-08,9.25,9.25,9.25,9.25,0,0.0,0
2016-03-09,9.25,9.25,9.25,9.25,0,0.0,0
2016-03-10,9.25,9.25,9.25,9.25,0,0.0,0
2016-03-11,9.25,9.25,9.25,9.25,0,0.0,0
2016-03-14,9.26,9.26,9.26,9.26,0,0.0,0
2016-03-15,9.26,9.26,9.26,9.26,0,0.0,0
2016-03-16,9.27,9.27,9.27,9.27,0,0.0,0
2016-03-17,9.28,9.28,9.28,9.28,0,0.0,0
2016-03-18,9.31,9.31,9.31,9.31,0,0.0,0
2016-03-21,9.3,9.3,9.3,9.3,0,0.0,0
2016-03-22,9.3,9.3,9.3,9.3,0,0.0,0
2016-03-23,9.31,9.31,9.31,9.31,0,0.0,0
2016-03-24,9.3,9.3,9.3,9.3,0,0.0,0
2016-03-28,9.3,9.3,9.3,9.3,0,0.0,0
2016-03-29,9.31,9.31,9.31,9.31,0,0.0,0
2016-03-30,9.32,9.32,9.32,9.32,0,0.0,0
2016-03-31,9.31,9.31,9.31,9.31,0,0.0,0
2016-04-01,9.31,9.31,9.31,9.31,0,0.0,0
2016-04-04,9.32,9.32,9.32,9.32,0,0.0,0
2016-04-05,9.33,9.33,9.33,9.33,0,0.0,0
2016-04-06,9.33,9.33,9.33,9.33,0,0.0,0
2016-04-07,9.34,9.34,9.34,9.34,0,0.0,0
2016-04-08,9.34,9.34,9.34,9.34,0,0.0,0
2016-04-11,9.34,9.34,9.34,9.34,0,0.0,0
2016-04-12,9.34,9.34,9.34,9.34,0,0.0,0
2016-04-13,9.36,9.36,9.36,9.36,0,0.0,0
2016-04-14,9.36,9.36,9.36,9.36,0,0.0,0
2016-04-15,9.37,9.37,9.37,9.37,0,0.0,0
2016-04-18,9.37,9.37,9.37,9.37,0,0.0,0
2016-04-19,9.38,9.38,9.38,9.38,0,0.0,0
2016-04-20,9.38,9.38,9.38,9.38,0,0.0,0
2016-04-21,9.4,9.4,9.4,9.4,0,0.0,0
2016-04-22,9.4,9.4,9.4,9.4,0,0.0,0
2016-04-25,9.4,9.4,9.4,9.4,0,0.0,0
2016-04-26,9.4,9.4,9.4,9.4,0,0.0,0
2016-04-27,9.42,9.42,9.42,9.42,0,0.0,0
